05/21/2026 10:00:10 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (38/2000) Extracting edition keys for each general work
05/21/2026 10:00:17 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (39/2000) Extracting edition keys for each general work
05/21/2026 10:00:24 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (40/2000) Extracting edition keys for each general work
05/21/2026 10:00:30 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (41/2000) Extracting edition keys for each general work
05/21/2026 10:00:36 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (42/2000) Extracting edition keys for each general work
05/21/2026 10:00:42 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (43/2000) Extracting edition keys for each general work
05/21/2026 10:00:48 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (44/2000) Extracting edition keys for each general work
05/21/2026 10:00:54 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (45/2000) Extracting edition keys for each general work
05/21/2026 10:01:00 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (46/2000) Extracting edition keys for each general work
05/21/2026 10:01:05 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (47/2000) Extracting edition keys for each general work
05/21/2026 10:01:11 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (48/2000) Extracting edition keys for each general work
05/21/2026 10:01:17 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (49/2000) Extracting edition keys for each general work
05/21/2026 10:01:23 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (50/2000) Extracting edition keys for each general work
05/21/2026 10:01:29 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (51/2000) Extracting edition keys for each general work
05/21/2026 10:01:36 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (52/2000) Extracting edition keys for each general work
05/21/2026 10:01:41 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (53/2000) Extracting edition keys for each general work
05/21/2026 10:01:47 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (54/2000) Extracting edition keys for each general work
05/21/2026 10:01:53 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (55/2000) Extracting edition keys for each general work
05/21/2026 10:01:59 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (56/2000) Extracting edition keys for each general work
05/21/2026 10:02:05 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (57/2000) Extracting edition keys for each general work
05/21/2026 10:02:11 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (58/2000) Extracting edition keys for each general work
05/21/2026 10:02:17 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (59/2000) Extracting edition keys for each general work
05/21/2026 10:02:23 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (60/2000) Extracting edition keys for each general work
05/21/2026 10:02:29 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (61/2000) Extracting edition keys for each general work
05/21/2026 10:02:35 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (62/2000) Extracting edition keys for each general work
05/21/2026 10:02:41 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (63/2000) Extracting edition keys for each general work
05/21/2026 10:02:48 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (64/2000) Extracting edition keys for each general work
05/21/2026 10:02:53 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (65/2000) Extracting edition keys for each general work
05/21/2026 10:02:59 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (66/2000) Extracting edition keys for each general work
05/21/2026 10:03:05 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (67/2000) Extracting edition keys for each general work
05/21/2026 10:03:11 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (68/2000) Extracting edition keys for each general work
05/21/2026 10:03:17 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (69/2000) Extracting edition keys for each general work
05/21/2026 10:03:22 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (70/2000) Extracting edition keys for each general work
05/21/2026 10:03:28 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (71/2000) Extracting edition keys for each general work
05/21/2026 10:03:35 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (72/2000) Extracting edition keys for each general work
05/21/2026 10:03:41 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (73/2000) Extracting edition keys for each general work
05/21/2026 10:03:48 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (74/2000) Extracting edition keys for each general work
05/21/2026 10:03:54 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (75/2000) Extracting edition keys for each general work
05/21/2026 10:04:01 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (76/2000) Extracting edition keys for each general work
05/21/2026 10:04:07 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (77/2000) Extracting edition keys for each general work
05/21/2026 10:04:13 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (78/2000) Extracting edition keys for each general work
05/21/2026 10:04:19 AM | [INFO] | fetch_books_keys_via_work_key.py | [FETCH_BOOKS_KEYS_VIA_WORK_KEY] (79/2000) Extracting edition keys for each general work
