edition_key,number_of_pages,physical_format,physical_dimensions,weight,language
OL14981210M,189,Paperback,,,eng
OL10738472M,189,Paperback,,,eng
OL10686514M,,Hardcover,,,eng
OL18504626M,456,,,,eng
OL8603363M,,Audio cassette,7.2 x 4.5 x 0.5 inches,4.8 ounces,eng
OL18587170M,456,,,,eng
OL7961854M,400,Paperback,7.7 x 5 x 1.1 inches,12 ounces,
OL9844175M,416,Mass Market Paperback,6.8 x 4.1 x 1.1 inches,7.2 ounces,eng
OL3704385M,429,,,,eng
OL10682161M,,Mass Market Paperback,,,eng
OL9738841M,480,Paperback,7.9 x 5.2 x 0.9 inches,13.6 ounces,eng
OL46573795M,,,,,eng
OL35618229M,972,paperback,,,spa
OL27925074M,912,Paperback,,,hun
OL27925078M,648,eBook,,,eng
OL56884344M,560,,,,spa
OL28300621M,460,paperback,,,eng
OL21626275M,,,,,spa
OL53484656M,463,,,,heb
OL32037491M,416,paperback,,,
OL28107930M,480,paperback,,,
OL32037493M,,audio cd,,,
OL26004944M,448,,,,
OL9522109M,448,Paperback,,,eng
OL39332831M,,Mass Market Paperback,,0.369 ,spa
OL33023688M,,audio cd,,,
OL31870730M,416,Paperback,19.2 x 12.9 x 3 centimeters,,eng
OL29173419M,416,,,,eng
OL24238814M,189,,,,eng
OL14976844M,189,,,,eng
OL29264499M,192,,,,eng
OL20161132M,283,,,,eng
OL16771051M,308,,,,eng
OL7961810M,352,Hardcover,,,
OL7973920M,398,School & Library Binding,6.7 x 4.4 x 1.5 inches,9.6 ounces,eng
OL22184538M,283,,,,eng
OL10682557M,456,Mass Market Paperback,,,eng
OL9682652M,512,Paperback,7.9 x 5.2 x 0.9 inches,15.2 ounces,eng
OL8276771M,,School & Library Binding,8.8 x 5.8 x 1 inches,1.2 pounds,eng
OL21920251M,399,,,,eng
OL7866886M,288,Hardcover,,,
OL23273991M,399,,,,eng
OL10684301M,,Mass Market Paperback,8.6 x 5.5 x 0.7 inches,5.4 ounces,eng
OL28562969M,560,paperback,,,pol
OL32388174M,,audio cd,,,eng
OL32388173M,,audio cd,,,eng
OL32388170M,803,paperback,,,eng
OL27924119M,803,Hardcover,,,eng
OL52553172M,496,,,,eng
OL10239236M,192,Hardcover,,,
OL21376214M,,,,,dut
OL10807106M,306,Hardcover,,,eng
OL58114645M,576,paperback,,,fre
OL33428668M,480,,,,eng
OL3475143M,393,,,,eng
