edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL11235259M,November 1985,1985,Ulverscroft Large Print,,,
OL21437817M,1992,1992,Mills & Boon,,enk,Bestseller Romance Series
OL14981210M,June 1986,1986,Mills & Boon,London,xxk,
OL10738472M,"February 1, 1987",1987,harlequin,,,"Harlequin Presents, No 962"
OL10738472M,"February 1, 1987",1987,Harlequin,,,"Harlequin Presents, No 962"
OL10686514M,"December 1, 1999",1999,Ballantine Books,,,
OL18504626M,2007,2007,Harcourt,Orlando,flu,
OL8603363M,September 1987,1987,Dove Entertainment Inc,,,
OL18587170M,2007,2007,Harcourt,Orlando,flu,
OL7961854M,"October 20, 1999",1999,Bloomsbury Publishing PLC,,,
OL9844175M,"September 12, 1987",1987,Del Rey,,,
OL3704385M,2003,2003,Ballantine Books,New York,nyu,
OL10682161M,"March 12, 1975",1975,Ballantine Books,,,
OL9738841M,"October 8, 2007",2007,Harvest Books,,,
OL46573795M,2023,2023,Bloomsbury Publishing Plc,,,
OL35618229M,"Feb 18, 2021",2021,Alfaguara,,,Ciudad Medialuna 1
OL27925074M,"January 6, 2021",2021,Könyvmolyképző,,,
OL27925078M,2020,2020,Bloomsbury Publishing,New York,,Crescent City
OL56884344M,2024,2024,Editorial Planeta Mexicana,,,Devil's Night 1
OL47691497M,"November 13, 2015",2015,‎CreateSpace Independent Publishing Platform,,,
OL28300621M,"Nov 13, 2015",2015,CreateSpace Independent Publishing Platform,,,
OL21626275M,,,Harlequin Iberica,Madrid,sp ,
OL53484656M,2012,2012,ענתות ספרים,תל אביב?],is,
OL32037491M,"Mar 13, 2007",2007,PIATKUS BOOKS,,,
OL28107930M,"May 18, 2011",2011,imusti,,,
OL28107930M,"May 18, 2011",2011,Piatkus Books,,,
OL32037493M,"Mar 13, 2009",2009,Recorded Books,,,
OL26004944M,"Oct 02, 2007",2007,Signet Book,,,
OL26004944M,"Oct 02, 2007",2007,Signet,,,
OL9522109M,October 2007,2007,Signet,,,Black Dagger Brotherhood (1)
OL39332831M,2022,2022,Penguin Random House Grupo Editorial,,,
OL33023688M,"Sep 17, 2013",2013,Brilliance Audio,,,
OL31870730M,"Oct 08, 2013",2013,Simon & Schuster UK,"London, UK",,Hopeless Vol.1
OL29173419M,2013,2013,"Simon & Schuster, Limited",,,
OL24238814M,1980,1980,Harlequin,Toronto,onc,Harlequin romance
OL24238814M,1980,1980,Harlequin,New York,onc,Harlequin romance
OL14976844M,1979,1979,Mills and Boon,London,xxk,
OL14976844M,1979,1979,Harlequin Mills & Boon,London,xxk,
OL29264499M,2015,2015,"Harlequin Mills & Boon, Limited",,,
OL20161132M,1990,1990,Ballantine Books,New York,nyu,
OL16771051M,1973,1973,Buccaneer Books,"Cutchogue, N.Y",nyu,
OL7961810M,"January 7, 1999",1999,Bloomsbury Publishing PLC,,,
OL7973920M,October 1999,1999,Tandem Library,,,
OL22184538M,1974,1974,Ballantine Books,New York,nyu,Del Rey fantasy
OL10682557M,"March 12, 1977",1977,Ballantine Books,,,
OL9682652M,"October 8, 2007",2007,Harvest Books,,,
