work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL7999006W,1,0,1,4,1
OL20797746W,0,0,0,0,0
OL895248W,0,1,1,1,1
OL1902272W,0,0,0,1,4
OL3803123W,1,0,1,2,5
OL1902314W,0,0,0,0,0
OL3759344W,1,0,0,1,1
OL3775446W,0,0,3,1,5
OL29167139W,0,0,0,1,0
OL9156412W,1,0,2,4,5
OL9359757W,1,1,3,5,2
OL3457739W,0,1,2,4,2
OL4092664W,0,0,0,3,4
OL11019378W,1,0,1,5,3
OL3908261W,0,0,2,3,3
OL8365967W,0,0,0,1,1
OL112320W,1,1,0,0,1
OL3771113W,1,0,2,2,1
OL3476058W,0,0,2,4,6
OL1911602W,0,0,3,2,0
OL5804892W,0,1,2,2,2
OL3771168W,1,0,0,1,4
OL3773965W,0,0,3,1,3
OL4221232W,2,0,7,1,2
OL26087369W,0,0,0,0,0
OL15827652W,1,1,1,2,5
OL9162966W,0,0,1,1,4
OL3759140W,0,0,3,2,1
OL3771123W,1,0,2,2,0
OL3759417W,1,0,0,1,0
OL8030168W,3,0,0,3,4
OL167328W,0,1,1,4,7
OL21735307W,2,1,1,4,1
OL17387284W,1,0,3,2,4
OL5695715W,0,0,0,1,3
OL228702W,0,1,6,14,16
OL4092655W,0,2,0,5,2
OL156401W,0,0,1,2,1
OL38128674W,1,3,1,4,18
OL4787957W,0,0,1,3,1
OL15678286W,1,0,1,2,2
OL9767580W,0,0,1,3,3
OL17436749W,0,0,3,1,0
OL5236087W,1,1,2,1,3
OL3294271W,2,0,1,3,0
OL9468089W,2,1,4,4,3
OL15660W,0,0,3,1,5
OL11277266W,1,1,3,5,3
OL4233141W,0,0,2,2,2
OL5682781W,0,1,4,12,4
OL8030158W,0,0,0,0,0
OL3845010W,0,0,0,0,3
OL16042101W,0,0,1,4,2
OL5945663W,0,2,2,0,1
OL4689746W,0,1,0,1,4
OL3467574W,0,0,3,3,8
OL4107886W,0,0,3,3,1
OL3803166W,0,0,5,3,6
OL2959289W,0,0,2,4,3
OL137222W,0,0,0,0,4
OL7990759W,2,0,3,1,3
OL167351W,1,0,1,2,5
OL3759484W,1,0,1,2,2
OL3498737W,1,0,2,4,2
OL1902362W,0,0,1,1,3
OL17339151W,1,0,5,9,16
OL3507309W,0,1,1,5,3
OL3498684W,0,0,1,3,6
OL15134753W,0,0,2,2,1
OL19737591W,1,1,3,2,6
OL15518787W,0,0,3,2,12
OL278356W,0,1,0,4,1
OL9367792W,1,1,1,3,3
OL3775382W,0,0,2,1,4
OL503666W,4,3,13,12,25
OL8315321W,1,0,0,1,2
OL14851667W,0,0,2,0,0
OL5686815W,0,1,2,3,4
OL3759048W,0,0,2,2,1
OL5809039W,0,1,1,2,1
OL18180843W,0,1,3,4,1
OL5695976W,0,1,1,4,2
OL810184W,0,0,4,2,3
OL1961526W,0,0,2,3,4
OL137082W,0,0,0,0,0
OL3775500W,1,1,0,3,12
OL4221196W,1,2,2,1,4
OL471940W,0,1,1,7,9
OL3475995W,0,1,2,2,1
OL14654W,1,0,1,1,3
OL3759436W,1,2,2,0,0
OL4961700W,0,1,0,1,0
OL2818303W,1,0,1,1,1
OL15646W,0,0,1,1,4
OL15170036W,0,0,1,3,3
OL4623643W,2,0,2,3,1
OL19748577W,0,1,3,3,10
OL11277326W,0,1,0,2,1
OL21559004W,1,1,4,1,1
OL3574739W,0,0,3,0,1
OL4331831W,0,1,4,3,3
OL15671W,0,0,1,0,4
OL16821265W,1,1,0,1,4
OL15610W,0,0,0,5,6
OL468362W,0,0,2,6,3
OL5888035W,0,1,0,2,1
OL17386768W,0,0,0,1,2
OL3457835W,0,0,1,4,4
OL3754828W,0,0,2,4,1
OL17796171W,0,4,0,2,2
OL111631W,0,4,1,2,0
OL7133446W,0,0,0,1,1
OL15425685W,0,0,3,3,0
OL19977306W,3,1,1,2,9
OL4472977W,0,0,3,1,8
OL37855093W,4,0,0,3,12
OL21455595W,0,0,3,1,0
OL4056511W,0,0,1,0,1
OL3498550W,0,1,0,2,3
OL20651958W,0,1,3,4,4
OL4141667W,0,1,0,0,1
OL100046W,0,2,1,2,3
OL3457796W,0,1,4,1,1
OL6286625W,0,1,1,1,0
OL3458002W,0,0,3,2,2
OL3498604W,0,0,1,3,2
OL16772679W,1,0,0,2,3
OL35345999W,1,0,1,0,1
OL5686810W,1,1,3,2,2
OL1902490W,0,0,0,0,5
OL15859891W,0,0,1,3,2
OL1518582W,0,0,0,4,5
OL4233117W,0,1,1,0,0
OL5686947W,0,1,3,4,3
