edition_key,publish_date,publish_year,publisher,publish_place,publish_country,series
OL10738416M,"May 1, 1986",1986,Harlequin,,,
OL29107560M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL24315860M,2009,2009,Harlequin,"Toronto, Ontario",nyu,
OL28982108M,2006,2006,"Harlequin Mills & Boon, Limited",,,
OL29155372M,2013,2013,"Harlequin Mills & Boon, Limited",,,
OL28764915M,2013,2013,"Harlequin Enterprises, Limited",,,
OL26112576M,2013,2013,Harlequin (UK),,,
OL49357720M,2/23/2021,2021,Entangled Publishing,,,
OL28311531M,"Feb 23, 2021",2021,Entangled: Amara,,,
OL28950988M,1998,1998,"Harlequin Mills & Boon, Limited",,,
OL1976505M,1989,1989,Mills & Boon,"Richmond, Surrey",enk,
OL18287034M,1989,1989,Mills & Boon,Richmond,xxk,
OL18287034M,1989,1989,Harlequin,Richmond,xxk,
OL10691399M,"November 1, 1984",1984,Harlequin,Toronto,onc,Harlequin Romance -- 2662
OL10691399M,"November 1, 1984",1984,Harlequin,New York,onc,Harlequin Romance -- 2662
OL38368100M,2014,2014,Harlequin Enterprises ULC,,,
OL38351954M,2011,2011,Harlequin Enterprises ULC,,,
OL16423069M,1995,1995,Mills & Boon,Richmond,enk,
OL7564758M,"April 12, 1980",1980,Fawcett,,,
OL48139405M,2009,2009,"Orion Publishing Group, Limited",,,
OL47226582M,"Mar 19, 2009",2009,Gollancz,,,
OL44232141M,2002,2002,Penguin Publishing Group,,,
OL40153255M,2023,2023,Penguin Random House Grupo Editorial,,,
OL38651991M,2010,2010,"Orion Publishing Group, Limited",,,
OL26016334M,2008,2008,Turtleback Books,,,
OL24608733M,2009,2009,Ace,,,
OL24325642M,2001,2001,Charlaine Harris,,,
OL24325645M,May 2001,2001,Charlaine Harris,,,
OL24325643M,2001,2001,Charlaine Harris,,,
OL24235171M,September 2008,2008,Ace,,,
OL24235171M,September 2008,2008,Ace Books,,,
OL3664332M,2001,2001,Ace Books,New York,nyu,Sookie Stackshouse Series
OL3664332M,2001,2001,Berkley Pub. Group,New York,nyu,Sookie Stackshouse Series
OL14978382M,1985,1985,Mills & Boon,London,xxk,
OL32141807M,2009,2009,Mills & Boon,"Richmond, Surrey",enk,Mills & Boon
OL32141808M,2011,2011,Mills & Boon,Richmond,enk,
OL29020025M,2009,2009,"Harlequin Mills & Boon, Limited",,,
OL24411110M,2009,2009,Harlequin,Toronto,onc,Harlequin presents -- 2827
OL24411110M,2009,2009,Harlequin,Toronto,onc,The Leopardi brothers
OL24411110M,2009,2009,Harlequin,Toronto,onc,Harlequin presents -- 2827.
OL24411110M,2009,2009,Harlequin,New York,onc,Harlequin presents -- 2827
OL24411110M,2009,2009,Harlequin,New York,onc,The Leopardi brothers
OL24411110M,2009,2009,Harlequin,New York,onc,Harlequin presents -- 2827.
OL29161825M,2013,2013,"Harlequin Mills & Boon, Limited",,,
OL26384399M,2013,2013,Harlequin,,onc,A bride for a billionaire
OL26108521M,2013,2013,Harlequin (UK),,,
OL36345672M,2021,2021,"Entangled Publishing, LLC",,,
OL37392581M,2012,2012,Harlequin Enterprises ULC,,,
OL29568122M,2010,2010,"Harlequin Enterprises, Limited",,,
OL10738115M,1981,1981,Harlequin,,,
OL10738115M,1981,1981,Mills And Boon,,,
OL14980278M,1981,1981,Mills & Boon,London,xxk,
OL14981361M,1987,1987,Mills & B.,,xxk,
OL14981361M,1987,1987,Harlequin Mills & Boon,,xxk,
