work_key,subject
OL21435W,Prostitutes
OL21435W,Fiction
OL21435W,Women pioneers
OL21435W,frontier life
OL21435W,love stories
OL21435W,Romance fiction
OL21435W,Christian fiction
OL21435W,historical fiction
OL21435W,Ficción
OL21435W,Prostitutas
OL21435W,Vida fronteriza
OL21435W,"Fiction, christian, historical"
OL21435W,"California, fiction"
OL21435W,"Frontier and pioneer life, fiction"
OL21435W,"San francisco (calif.), fiction"
OL21435W,"Fiction, religious"
OL21435W,"Fiction, romance, historical"
OL21435W,"Fiction, christian, romance"
OL21435W,"Fiction, historical"
OL21435W,Large type books
OL21435W,"Fiction, christian, romance, general"
OL21435W,"Bible, criticism, interpretation, etc."
OL3775489W,"Fiction, Romance, Contemporary"
OL16707517W,"Fiction, Romance, Contemporary"
OL16707517W,"Spaniards,  fiction"
OL16707517W,"Man-woman relationships, fiction"
OL16707517W,"Marriage, fiction"
OL16707517W,"Fiction, romance, erotica"
OL3457723W,"Fiction, Romance, Contemporary, Medical"
OL3457723W,Reader's Choice
OL3498880W,Blizzards
OL3498880W,Fiction
OL3498880W,"Fiction, romance, general"
OL4092663W,1920s
OL4092663W,"Fiction, Romance, Historical, Regency"
OL4092663W,"Aristocracy (Social class), fiction"
OL4092663W,History
OL4092663W,"Man-woman relationships, fiction"
OL4092663W,"Nobility, fiction"
OL4092663W,Social life and customs
OL4092663W,Large type books
OL4092663W,"Literature and fiction, romance"
OL4092663W,English literature
OL4092663W,Aristocracy (Social class)
OL4092663W,Fiction
OL4092663W,"Fiction, romance, general"
OL4092663W,"Great britain, fiction"
OL4092663W,"Fiction, romance, historical, general"
OL3457898W,"Fiction, Romance, Contemporary"
OL3457898W,"Physicians, fiction"
OL3457898W,"Spouses, fiction"
OL3457898W,Fiction in English
OL29215706W,Romance
OL29215706W,Dark
OL29215706W,Contemporary Romance
OL29215706W,Adult
OL29215706W,Disability
OL29215706W,Crime
OL29215706W,Fiction
OL29215706W,New Adult
OL29215706W,Marriage
OL3395282W,Romance - General
OL3395282W,"Fiction, romance, general"
OL3498721W,"Fiction, Romance, Contenporary, New Zealand Romance fiction"
OL3498721W,Large type books
OL213270W,Fiction in English
OL213270W,Detective and mystery stories
OL213270W,Romance fiction
OL213270W,Love stories
OL213270W,Large type books
OL213270W,Telepathy
