edition_key,work_key,title,subtitle,edition_name
OL32025997M,OL82374W,Dead Until Dark,A True Blood Novel,
OL27627573M,OL82374W,Dead Until Dark,,
OL27132139M,OL82374W,Ye fang liang chen zhen,Dead until dark / Charlaine Harris,Chu ban
OL24365060M,OL82374W,dead until dark,,
OL23055798M,OL82374W,Dead until Dark: A Southern Vampire Novel.,,
OL24251503M,OL82374W,Dead Until Dark,,
OL24008116M,OL82374W,Dead until dark,,Ace hardcover ed.
OL24365061M,OL82374W,dead until dark,,
OL15576803M,OL82374W,Dead until dark,,
OL3302211M,OL82374W,Dead until dark,,
OL24325644M,OL82374W,Dead until Dark,,
OL22839393M,OL6918872W,The winter heart,,
OL29567318M,OL15183864W,Sicilian's Baby Bargain,,
OL29105731M,OL3475959W,By Royal Demand,,
OL28985527M,OL3475959W,By Royal Demand,,
OL28987573M,OL3475959W,By Royal Demand,,
OL24320279M,OL3475959W,By Royal Demand,,
OL9643191M,OL3475959W,By Royal Demand,,
OL44284269M,OL20512441W,Kiss Thief,,
OL48181089M,OL20512441W,Kiss Thief,,
OL27748513M,OL20512441W,The Kiss Thief,,
OL40148917M,OL20734329W,Novela Del Verano / Beach Read (Spanish Edition),,
OL40138664M,OL20734329W,Beach Read,A Novel,
OL32159760M,OL20734329W,Beach Read,,
OL29477424M,OL20734329W,Beach Read,"Two writers, one holiday. A romcom waiting to happen...",
OL28042755M,OL20734329W,Beach Read,,
OL10690946M,OL4356929W,Every Wise Man,,
OL1448061M,OL15659W,Keeper of the heart,,
OL22933332M,OL15659W,His Last Scout: A Military Drama,,
OL7662818M,OL810243W,Lost Lady,,
OL8137302M,OL810243W,Lost Lady,,Lrg edition
OL22646923M,OL810243W,Lost lady,,
OL7663839M,OL810243W,Lost Lady,,
OL14976962M,OL11327425W,Prisoner in paradise,,
OL10691191M,OL11327425W,Prisoner in Paradise,,
OL50710345M,OL24457490W,You've Reached Sam,,
OL50546555M,OL24457490W,Свързахте се със Сам,,
OL46523548M,OL24457490W,"Älä mene, Sam",,
OL37994558M,OL24457490W,You've Reached Sam,,
OL34118915M,OL24457490W,You've Reached Sam,,
OL32395936M,OL24457490W,You've Reached Sam,,
OL23539834M,OL14862472W,Show me,,Harlequin Presents ed.
OL4593395M,OL14862472W,Show Me,,
OL14980418M,OL14862472W,Show me,,
OL16743097M,OL11327725W,The devil at Archangel,,
OL37011194M,OL27244347W,Forever after All,,
OL38562547M,OL5682990W,Li͡ubimai͡a zhena,roman,
OL3415246M,OL5682990W,The perfect wife,,Large print ed.
OL24293638M,OL5682990W,The Perfect Wife,,
